epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.675,0.0648,4.50363,1.74211,0,0,0,0,nan,nan,nan,0.07408,0.00108,0.00108
2,42.3281,0.08611,4.26112,2.08793,0,0,0,0,nan,nan,nan,0.0471891,0.00218911,0.00218911
3,59.9656,0.0896,3.92379,2.01929,0,0,0,0,nan,nan,nan,0.0202871,0.00328713,0.00328713
4,78.9857,0.08726,3.58387,1.86129,0,0,0,0,nan,nan,nan,0.0039406,0.0039406,0.0039406
5,96.7139,0.08356,3.40436,1.84159,0,0,0,0,nan,nan,nan,0.0039208,0.0039208,0.0039208
6,114.609,0.08033,3.25301,1.83707,0.07092,0.07644,0.05341,0.02077,0.08329,3.74565,2.08639,0.003901,0.003901,0.003901
7,132.878,0.0739,3.08002,1.71176,0.87606,0.19424,0.21348,0.08787,0.06917,4.385,1.73368,0.0038812,0.0038812,0.0038812
8,151.226,0.07213,3.03062,1.72572,0.55703,0.17642,0.20519,0.09387,0.06336,5.45997,1.61928,0.0038614,0.0038614,0.0038614
9,169.033,0.06755,2.61061,1.61369,0.27705,0.19424,0.23693,0.11118,0.06779,5.18588,1.74586,0.0038416,0.0038416,0.0038416
10,186.882,0.0707,2.79198,1.69176,0.46965,0.05896,0.07009,0.0172,0.07821,3.60013,1.93879,0.0038218,0.0038218,0.0038218
11,204.923,0.0663,2.53613,1.60898,0.57571,0.19173,0.22124,0.10976,0.067,3.75402,1.89824,0.003802,0.003802,0.003802
12,222.488,0.06444,2.64393,1.64698,0.93424,0.20396,0.24322,0.12692,0.05999,2.69797,1.62601,0.0037822,0.0037822,0.0037822
13,240.178,0.06866,2.74931,1.70039,0.53747,0.15664,0.17769,0.08945,0.06127,2.99709,1.66357,0.0037624,0.0037624,0.0037624
14,258.059,0.06702,2.69227,1.689,0.59244,0.17934,0.2016,0.08783,0.06215,3.14407,1.64474,0.0037426,0.0037426,0.0037426
15,276.033,0.06431,2.69521,1.64014,0.60719,0.22502,0.26314,0.14001,0.0551,2.52393,1.50649,0.0037228,0.0037228,0.0037228
16,294.036,0.06199,2.49639,1.57409,0.2832,0.2692,0.28209,0.1418,0.05974,2.61856,1.69764,0.003703,0.003703,0.003703
17,312.021,0.06401,2.31576,1.55423,0.89935,0.26961,0.31458,0.16331,0.05246,3.6086,1.60589,0.0036832,0.0036832,0.0036832
18,330.81,0.0594,2.38846,1.57368,0.34579,0.33449,0.3181,0.13367,0.05441,2.21095,1.56711,0.0036634,0.0036634,0.0036634
19,348.411,0.05848,2.16329,1.53114,0.59735,0.21,0.24338,0.12858,0.05403,2.82414,1.54555,0.0036436,0.0036436,0.0036436
20,365.991,0.05936,2.19924,1.5368,0.48303,0.38407,0.37129,0.18007,0.05319,2.0114,1.62274,0.0036238,0.0036238,0.0036238
21,383.954,0.05759,2.1267,1.51417,0.36035,0.24936,0.27367,0.14871,0.05163,2.08803,1.53542,0.003604,0.003604,0.003604
22,402.035,0.0554,2.04849,1.49223,0.64535,0.23741,0.2386,0.12411,0.05171,2.05435,1.58041,0.0035842,0.0035842,0.0035842
23,419.586,0.05708,2.00699,1.46909,0.4762,0.23822,0.28811,0.14375,0.05591,2.88496,1.77974,0.0035644,0.0035644,0.0035644
24,437.117,0.05866,2.31344,1.60509,0.42886,0.27036,0.30563,0.14185,0.05312,2.76311,1.58496,0.0035446,0.0035446,0.0035446
25,455.14,0.05789,2.15698,1.54694,0.89282,0.21554,0.25051,0.13635,0.04837,2.36592,1.74783,0.0035248,0.0035248,0.0035248
26,473.095,0.05372,1.92375,1.44257,0.48875,0.28737,0.2893,0.15896,0.04759,2.36347,1.51162,0.003505,0.003505,0.003505
27,490.773,0.05336,1.92134,1.44062,0.51593,0.4765,0.49677,0.2822,0.04394,1.69402,1.5138,0.0034852,0.0034852,0.0034852
28,508.695,0.05717,2.09761,1.5075,0.952,0.20677,0.26482,0.12084,0.05746,2.67819,1.59955,0.0034654,0.0034654,0.0034654
29,527.077,0.05409,2.00687,1.50184,0.42231,0.38613,0.35377,0.14724,0.05225,2.12472,1.64034,0.0034456,0.0034456,0.0034456
30,544.814,0.05616,1.96266,1.49429,0.62147,0.12781,0.17071,0.06815,0.06401,2.48447,1.71336,0.0034258,0.0034258,0.0034258
31,562.481,0.05484,2.05282,1.50972,0.5618,0.50257,0.51416,0.25499,0.04189,1.71968,1.50503,0.003406,0.003406,0.003406
32,580.421,0.05172,1.8874,1.45293,0.56398,0.47158,0.49153,0.25771,0.04353,1.5801,1.47683,0.0033862,0.0033862,0.0033862
33,598.38,0.05171,1.79799,1.40873,0.40086,0.3057,0.31241,0.15794,0.04812,1.88919,1.50494,0.0033664,0.0033664,0.0033664
34,616.114,0.05259,1.8613,1.46074,0.33163,0.35965,0.32407,0.16988,0.04467,1.7538,1.42946,0.0033466,0.0033466,0.0033466
35,633.756,0.05213,1.84215,1.43811,0.49814,0.40042,0.4243,0.22479,0.04382,1.88879,1.51852,0.0033268,0.0033268,0.0033268
36,652.105,0.04937,1.76322,1.36796,0.33884,0.21634,0.25972,0.11739,0.05326,2.40857,1.49562,0.003307,0.003307,0.003307
37,669.764,0.05146,1.86465,1.47031,0.51003,0.25634,0.29539,0.15564,0.04717,2.11263,1.45014,0.0032872,0.0032872,0.0032872
38,687.355,0.05171,1.8623,1.4491,0.49244,0.39042,0.38015,0.20553,0.04189,1.9366,1.37343,0.0032674,0.0032674,0.0032674
39,705.204,0.04862,1.67049,1.36182,0.96831,0.28578,0.3395,0.18216,0.04504,2.06949,1.39252,0.0032476,0.0032476,0.0032476
40,723.746,0.05094,1.90197,1.44213,0.52156,0.49357,0.49806,0.26933,0.04523,1.67287,1.44873,0.0032278,0.0032278,0.0032278
41,741.545,0.04988,1.74691,1.38823,0.50278,0.61108,0.48509,0.26107,0.04384,1.52075,1.41247,0.003208,0.003208,0.003208
42,759.202,0.05142,1.91364,1.45339,0.42211,0.2985,0.34329,0.1805,nan,nan,nan,0.0031882,0.0031882,0.0031882
43,777.424,0.05217,1.80856,1.41629,0.7748,0.36616,0.38157,0.20386,0.0422,1.86557,1.5355,0.0031684,0.0031684,0.0031684
44,795.121,0.04837,1.74365,1.40425,0.59066,0.35666,0.40336,0.21733,0.04171,1.81876,1.44698,0.0031486,0.0031486,0.0031486
45,812.89,0.04828,1.62332,1.34904,0.23913,0.16667,0.20813,0.11303,0.05784,2.64179,1.64359,0.0031288,0.0031288,0.0031288
46,830.825,0.04822,1.63545,1.37893,0.94789,0.17794,0.23347,0.12355,0.04983,2.24542,1.48078,0.003109,0.003109,0.003109
47,848.99,0.04708,1.63823,1.34907,0.60091,0.66041,0.6863,0.37501,0.03928,1.23139,1.3649,0.0030892,0.0030892,0.0030892
48,866.903,0.04843,1.60991,1.33949,0.86704,0.35116,0.50451,0.28062,0.04387,1.89264,1.41774,0.0030694,0.0030694,0.0030694
49,884.518,0.04825,1.62826,1.37076,0.75742,0.58743,0.71775,0.40599,0.04079,1.18969,1.37342,0.0030496,0.0030496,0.0030496
50,903.145,0.04883,1.59933,1.36258,0.71333,0.49149,0.5795,0.32406,0.0421,1.43099,1.35619,0.0030298,0.0030298,0.0030298
51,921.167,0.04911,1.62769,1.36474,0.46699,0.38636,0.38803,0.21385,0.04593,1.96883,1.46756,0.00301,0.00301,0.00301
52,938.804,0.04629,1.5778,1.32766,0.51455,0.56372,0.56041,0.30342,0.04254,1.21679,1.33499,0.0029902,0.0029902,0.0029902
53,956.606,0.04811,1.66892,1.39999,0.67902,0.55,0.57609,0.32464,0.04029,1.35144,1.3102,0.0029704,0.0029704,0.0029704
54,974.692,0.04595,1.4972,1.30866,0.60004,0.42332,0.48274,0.25905,0.03949,1.44372,1.37259,0.0029506,0.0029506,0.0029506
55,992.343,0.04675,1.58484,1.35407,0.57629,0.59296,0.58047,0.31488,0.0396,1.48103,1.35821,0.0029308,0.0029308,0.0029308
56,1009.93,0.0453,1.50557,1.2947,0.73074,0.53534,0.66047,0.37657,0.03687,1.12224,1.27135,0.002911,0.002911,0.002911
57,1027.95,0.04645,1.52487,1.2955,0.56278,0.36624,0.38332,0.21299,0.04374,1.9467,1.37686,0.0028912,0.0028912,0.0028912
58,1045.51,0.04694,1.56956,1.33598,0.72147,0.51475,0.66748,0.3846,0.04074,1.26674,1.2892,0.0028714,0.0028714,0.0028714
59,1063.2,0.04665,1.48207,1.31457,0.59025,0.60748,0.62009,0.35065,0.04033,1.08041,1.27925,0.0028516,0.0028516,0.0028516
60,1080.95,0.04623,1.52209,1.35902,0.62474,0.45193,0.50555,0.29452,0.04315,1.80537,1.37889,0.0028318,0.0028318,0.0028318
61,1099.39,0.04766,1.61786,1.37474,0.63773,0.61272,0.67012,0.38711,0.04436,1.67311,1.57747,0.002812,0.002812,0.002812
62,1117.05,0.04412,1.39107,1.26125,0.42175,0.42046,0.45691,0.23988,0.04068,1.3827,1.40651,0.0027922,0.0027922,0.0027922
63,1134.94,0.04475,1.39681,1.29854,0.66072,0.49046,0.6003,0.35206,0.04049,1.44982,1.31187,0.0027724,0.0027724,0.0027724
64,1153.05,0.04584,1.4409,1.28223,0.61883,0.56805,0.60716,0.34366,0.04194,1.1544,1.419,0.0027526,0.0027526,0.0027526
65,1170.86,0.04431,1.37726,1.26639,0.84947,0.54646,0.70923,0.39775,0.03908,1.15834,1.2856,0.0027328,0.0027328,0.0027328
66,1188.46,0.0456,1.56448,1.32526,0.74956,0.57609,0.68596,0.39818,0.03982,1.33589,1.38646,0.002713,0.002713,0.002713
67,1206.08,0.04345,1.33269,1.24027,0.60476,0.41141,0.48301,0.26897,0.0433,1.80326,1.34407,0.0026932,0.0026932,0.0026932
68,1224.28,0.04383,1.42103,1.263,0.4648,0.46755,0.41156,0.23473,0.0421,1.53898,1.50242,0.0026734,0.0026734,0.0026734
69,1241.83,0.04483,1.41653,1.30462,0.72127,0.59809,0.68354,0.39982,0.03575,1.27036,1.29517,0.0026536,0.0026536,0.0026536
