epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51412,0.0483,2.86358,1.06904,0.75949,0.38835,0.54335,0.24407,0.04314,15.1887,1.00989,0.0942334,0.0002334,0.0002334
2,12.7375,0.05137,1.72474,1.08612,0.58142,0.75566,0.66312,0.26586,0.04625,3.97827,1.04975,0.0875007,0.000500701,0.000500701
3,15.7658,0.05517,1.34133,1.09655,0.41144,0.38673,0.34175,0.16185,0.04686,5.23591,1.08892,0.0807626,0.000762619,0.000762619
4,18.9443,0.04809,1.26136,1.01652,0.5637,0.57929,0.512,0.19537,0.04858,1.73297,1.07125,0.0740192,0.00101915,0.00101915
5,22.6316,0.0495,1.17843,1.02106,0.18802,0.25081,0.10974,0.02566,0.07918,5.21213,1.62401,0.0672703,0.0012703,0.0012703
6,26.1114,0.06227,1.44798,1.161,0.06062,0.16019,0.0253,0.01024,0.07851,32.1816,2.34567,0.0605161,0.00151607,0.00151607
7,28.9148,0.0515,1.19205,1.04026,0.70424,0.73204,0.71713,0.30598,0.04879,1.86172,1.21064,0.0537565,0.00175645,0.00175645
8,31.7567,0.0528,1.07538,1.07632,0.34607,0.44175,0.24843,0.08356,0.05738,3.74262,1.24481,0.0469915,0.00199145,0.00199145
9,34.5699,0.05597,1.17183,1.11329,0.62678,0.64239,0.58187,0.21015,0.05559,1.44123,1.24955,0.0402211,0.00222107,0.00222107
10,38.4962,0.05211,1.12131,1.08365,0.61206,0.77994,0.68412,0.25955,0.04699,3.20104,1.12705,0.0334453,0.0024453,0.0024453
11,41.5851,0.0476,1.05469,1.03247,0.60433,0.66505,0.50434,0.17301,0.05086,1.37132,1.14566,0.0266642,0.00266415,0.00266415
12,44.377,0.04696,0.92223,0.98498,0.82086,0.81715,0.84688,0.35184,0.04859,1.35782,1.06286,0.0198776,0.00287762,0.00287762
13,47.1991,0.04825,0.88935,1.0299,0.78188,0.67476,0.75214,0.35091,0.04598,1.04528,1.03969,0.0130857,0.0030857,0.0030857
14,50.3765,0.05507,0.93119,1.09697,0.38014,0.47411,0.26796,0.06827,0.06793,1.32297,1.30257,0.0062884,0.0032884,0.0032884
15,54.1738,0.06009,1.05922,1.1496,0.59376,0.62783,0.61235,0.25025,nan,nan,nan,0.00335165,0.00335165,0.00335165
16,57.1422,0.07302,1.40688,1.2838,0,0,0,0,nan,nan,nan,0.0033132,0.0033132,0.0033132
17,59.9751,0.06502,1.32594,1.18174,0.00541,0.0178,0.00751,0.00325,nan,nan,nan,0.00327475,0.00327475,0.00327475
18,62.6166,0.05913,1.30783,1.15377,0,0,0,0,nan,nan,nan,0.00323629,0.00323629,0.00323629
19,66.2992,0.05496,1.21809,1.08328,0.01296,0.11327,0.00794,0.00151,nan,nan,nan,0.00319784,0.00319784,0.00319784
20,69.5603,0.06213,1.17017,1.13483,0.01587,0.00971,0.01043,0.00364,nan,nan,nan,0.00315938,0.00315938,0.00315938
21,72.2828,0.07055,1.69635,1.30294,0.1382,0.24833,0.07883,0.01518,0.08873,2.79546,1.63133,0.00312093,0.00312093,0.00312093
22,75.0379,0.0843,2.30659,1.48473,0.03181,0.08576,0.01361,0.00324,0.10001,2.95198,1.63716,0.00308248,0.00308248,0.00308248
23,77.7495,0.072,1.75917,1.27679,0.01148,0.10032,0.00647,0.00165,0.09282,4.59847,1.76788,0.00304402,0.00304402,0.00304402
24,81.5563,0.05752,1.22924,1.10225,0.02097,0.05178,0.01039,0.00396,0.09699,5.57889,2.01937,0.00300557,0.00300557,0.00300557
25,84.5288,0.07157,1.28177,1.36779,0.48067,0.15576,0.16491,0.04654,0.09011,1.88485,2.06719,0.00296712,0.00296712,0.00296712
26,87.2473,0.07124,1.28955,1.28743,0.60514,0.57767,0.56752,0.22289,0.05725,1.31549,1.14752,0.00292866,0.00292866,0.00292866
27,90.0404,0.06081,1.4851,1.13869,0.32431,0.38511,0.24151,0.0624,0.07,1.9923,1.30884,0.00289021,0.00289021,0.00289021
28,93.5235,0.06143,1.34082,1.11229,0.70896,0.62277,0.67757,0.26752,0.05377,1.05582,1.14968,0.00285176,0.00285176,0.00285176
29,97.0522,0.0523,1.02219,1.04276,0.69271,0.67961,0.64671,0.29281,0.04753,1.44966,1.06857,0.0028133,0.0028133,0.0028133
30,99.8012,0.04854,0.96135,1.03192,0.54135,0.73139,0.53745,0.28447,0.04293,1.09747,0.9869,0.00277485,0.00277485,0.00277485
31,102.554,0.0477,0.89088,1.02805,0.71714,0.77023,0.75508,0.38465,0.0431,0.91173,0.98744,0.0027364,0.0027364,0.0027364
32,105.393,0.0446,0.84273,0.98822,0.75072,0.82686,0.77182,0.3506,0.04814,0.87575,1.01708,0.00269794,0.00269794,0.00269794
33,108.886,0.04825,0.87075,0.98851,0.82383,0.83172,0.84229,0.3872,0.04762,0.83619,1.00508,0.00265949,0.00265949,0.00265949
34,112.243,0.04392,0.78619,0.97365,0.86638,0.84985,0.89568,0.48061,0.04011,0.73856,0.96331,0.00262104,0.00262104,0.00262104
35,115.157,0.06025,0.99738,1.1171,0.19552,0.35275,0.27169,0.09081,0.07796,2.62799,1.46588,0.00258258,0.00258258,0.00258258
36,117.914,0.05793,1.00661,1.10134,0.76518,0.53883,0.64724,0.30379,0.04954,1.12875,1.0779,0.00254413,0.00254413,0.00254413
37,120.629,0.05453,0.93798,1.08615,0.67886,0.62298,0.66997,0.29093,0.05536,1.09395,1.14039,0.00250568,0.00250568,0.00250568
38,124.803,0.05212,0.93366,1.05464,0.7048,0.57767,0.59981,0.23007,0.05582,1.3291,1.12333,0.00246722,0.00246722,0.00246722
39,128.002,0.0507,0.92931,1.0185,0.5987,0.46764,0.48798,0.19458,0.05595,1.52758,1.10731,0.00242877,0.00242877,0.00242877
40,130.688,0.05001,0.85456,1.0348,0.69377,0.51456,0.54168,0.20087,0.06007,1.2548,1.13651,0.00239032,0.00239032,0.00239032
41,133.449,0.04988,0.81632,1.01301,0.76935,0.72492,0.76064,0.35735,0.04823,0.92502,1.03366,0.00235186,0.00235186,0.00235186
42,136.732,0.04587,0.83017,0.99437,0.76805,0.74272,0.76916,0.36477,0.0457,0.97943,1.00926,0.00231341,0.00231341,0.00231341
43,140.245,0.04492,0.83611,0.97935,0.80852,0.73791,0.78555,0.38032,0.04351,0.93463,0.99014,0.00227496,0.00227496,0.00227496
44,142.951,0.04396,0.74245,0.95667,0.83764,0.87379,0.87449,0.38986,0.04597,0.79395,0.99859,0.0022365,0.0022365,0.0022365
45,145.758,0.04847,0.79572,1.00012,0.87232,0.86229,0.88931,0.45819,0.04208,0.76786,0.96515,0.00219805,0.00219805,0.00219805
46,148.54,0.04807,0.7746,1.02903,0.8715,0.79288,0.84679,0.35964,0.05203,0.82225,1.05866,0.0021596,0.0021596,0.0021596
47,151.893,0.04914,0.81745,1.01619,0.83633,0.87642,0.89613,0.44341,0.04086,0.74546,0.95754,0.00212114,0.00212114,0.00212114
48,155.101,0.04261,0.78318,0.95903,0.86673,0.911,0.91685,0.48008,0.03998,0.7438,0.95025,0.00208269,0.00208269,0.00208269
49,157.926,0.04097,0.70776,0.94473,0.87205,0.90291,0.92907,0.50303,0.03817,0.69445,0.93261,0.00204424,0.00204424,0.00204424
50,161.137,0.04308,0.70662,0.96801,0.8963,0.89482,0.93061,0.50069,0.04041,0.68589,0.96305,0.00200578,0.00200578,0.00200578
51,163.886,0.04364,0.75155,0.98996,0.8831,0.85922,0.91736,0.48437,0.03897,0.70246,0.94857,0.00196733,0.00196733,0.00196733
52,167.739,0.04184,0.70645,0.95896,0.9037,0.8835,0.92246,0.50106,0.03924,0.68148,0.94333,0.00192888,0.00192888,0.00192888
53,170.598,0.0393,0.68602,0.95074,0.89716,0.88673,0.924,0.49226,0.03984,0.68597,0.94738,0.00189042,0.00189042,0.00189042
54,173.354,0.04126,0.69964,0.9489,0.90056,0.89806,0.93093,0.51658,0.03791,0.64846,0.92521,0.00185197,0.00185197,0.00185197
55,176.276,0.04024,0.66523,0.9328,0.87298,0.89806,0.92688,0.50698,0.03835,0.66979,0.93099,0.00181351,0.00181351,0.00181351
56,179.563,0.03973,0.68191,0.95892,0.8972,0.91795,0.93325,0.51446,0.03794,0.63897,0.92875,0.00177506,0.00177506,0.00177506
57,182.978,0.03987,0.67454,0.94077,0.89285,0.91262,0.93547,0.52436,0.0374,0.64864,0.92168,0.00173661,0.00173661,0.00173661
58,185.851,0.04184,0.67968,0.93752,0.85245,0.88835,0.88626,0.40869,0.04703,0.75619,0.99509,0.00169815,0.00169815,0.00169815
59,188.563,0.04053,0.67566,0.95465,0.88445,0.92233,0.94256,0.53113,0.03644,0.65141,0.91522,0.0016597,0.0016597,0.0016597
60,191.452,0.03963,0.65656,0.9462,0.89723,0.90411,0.94018,0.52695,0.03735,0.66011,0.92097,0.00162125,0.00162125,0.00162125
61,195.069,0.03897,0.66623,0.93345,0.89946,0.88673,0.93841,0.51423,0.03846,0.67048,0.92807,0.00158279,0.00158279,0.00158279
62,198.252,0.04187,0.6997,0.96493,0.91586,0.88997,0.94112,0.53697,0.03636,0.64188,0.91786,0.00154434,0.00154434,0.00154434
63,201.104,0.04012,0.68217,0.96054,0.88935,0.85834,0.88888,0.42586,0.0464,0.78569,0.99227,0.00150589,0.00150589,0.00150589
64,203.972,0.03925,0.63609,0.92298,0.86248,0.8932,0.92913,0.493,0.03829,0.68911,0.93081,0.00146743,0.00146743,0.00146743
65,206.844,0.04112,0.67786,0.94921,0.88342,0.91964,0.94341,0.51623,0.0378,0.65424,0.92516,0.00142898,0.00142898,0.00142898
66,210.72,0.04098,0.66232,0.95674,0.87114,0.89482,0.92282,0.49273,0.03981,0.70003,0.94364,0.00139053,0.00139053,0.00139053
67,213.545,0.0424,0.68396,0.9512,0.80758,0.7945,0.79549,0.30472,0.05464,0.97289,1.05929,0.00135207,0.00135207,0.00135207
68,216.32,0.04431,0.73286,0.97626,0.88055,0.89806,0.93467,0.51618,0.0364,0.66552,0.9187,0.00131362,0.00131362,0.00131362
69,219.043,0.03997,0.65331,0.92597,0.88253,0.89968,0.93969,0.523,0.03681,0.66129,0.92183,0.00127517,0.00127517,0.00127517
70,222.298,0.0415,0.68055,0.94141,0.90913,0.90453,0.93198,0.5188,0.03714,0.65198,0.91823,0.00123671,0.00123671,0.00123671
71,226.115,0.04017,0.64936,0.93289,0.87737,0.84951,0.91631,0.50952,0.03804,0.68409,0.92508,0.00119826,0.00119826,0.00119826
72,228.864,0.04085,0.71402,0.96198,0.89434,0.89159,0.9313,0.4729,0.04087,0.72403,0.94519,0.00115981,0.00115981,0.00115981
73,231.612,0.04254,0.72718,0.95576,0.88789,0.85862,0.91953,0.49649,0.03886,0.7328,0.93227,0.00112135,0.00112135,0.00112135
74,234.435,0.03852,0.65171,0.91731,0.90299,0.88835,0.93164,0.53085,0.03714,0.65167,0.91838,0.0010829,0.0010829,0.0010829
75,238.446,0.04062,0.66271,0.93765,0.89003,0.88188,0.90743,0.45272,0.04429,0.76257,0.97254,0.00104445,0.00104445,0.00104445
76,241.598,0.04223,0.69935,0.95064,0.88446,0.88511,0.93235,0.49764,0.03915,0.69312,0.92426,0.00100599,0.00100599,0.00100599
77,244.35,0.03985,0.65366,0.93558,0.87304,0.87906,0.93181,0.50583,0.0385,0.6846,0.92048,0.000967539,0.000967539,0.000967539
78,247.159,0.04061,0.6454,0.94107,0.91066,0.91424,0.92391,0.49606,0.04006,0.67114,0.93794,0.000929086,0.000929086,0.000929086
79,250.028,0.03902,0.63338,0.92438,0.91417,0.92557,0.94635,0.52449,0.03691,0.65803,0.91663,0.000890633,0.000890633,0.000890633
80,253.897,0.03824,0.62525,0.92695,0.89552,0.92927,0.94227,0.54692,0.03606,0.61312,0.91097,0.000852179,0.000852179,0.000852179
81,256.721,0.03927,0.63981,0.92691,0.91016,0.91804,0.95213,0.53549,0.03717,0.62952,0.91074,0.000813726,0.000813726,0.000813726
82,259.459,0.03894,0.63099,0.9292,0.93527,0.93527,0.95342,0.52933,0.03815,0.6535,0.91617,0.000775272,0.000775272,0.000775272
83,262.237,0.03966,0.63905,0.92779,0.91637,0.91748,0.95411,0.53479,0.03646,0.62049,0.91072,0.000736819,0.000736819,0.000736819
84,265.663,0.03936,0.62037,0.91273,0.92527,0.94163,0.96124,0.53897,0.03713,0.63108,0.90934,0.000698365,0.000698365,0.000698365
85,269.098,0.03904,0.61828,0.90916,0.91601,0.93532,0.95444,0.53985,0.03717,0.6331,0.91264,0.000659912,0.000659912,0.000659912
86,271.883,0.03844,0.62364,0.93065,0.9221,0.93855,0.95885,0.56165,0.0349,0.6142,0.89586,0.000621459,0.000621459,0.000621459
87,274.683,0.03653,0.59923,0.90384,0.91994,0.92968,0.95912,0.56028,0.03543,0.60909,0.89834,0.000583005,0.000583005,0.000583005
88,277.417,0.03863,0.62912,0.91507,0.90142,0.94013,0.9516,0.56461,0.03511,0.60947,0.8971,0.000544552,0.000544552,0.000544552
89,281.243,0.03766,0.60624,0.91424,0.90515,0.94337,0.95349,0.55668,0.03501,0.60426,0.89689,0.000506098,0.000506098,0.000506098
90,284.411,0.03897,0.63102,0.92243,0.92032,0.91585,0.94823,0.54176,0.03639,0.63743,0.90416,0.000467645,0.000467645,0.000467645
91,288.862,0.03727,0.6264,0.92544,0.91973,0.92395,0.95233,0.55431,0.03584,0.61637,0.90062,0.000429191,0.000429191,0.000429191
92,291.552,0.03745,0.61256,0.91199,0.90696,0.92071,0.95418,0.55666,0.0355,0.61122,0.89954,0.000390738,0.000390738,0.000390738
93,294.943,0.03671,0.60077,0.93588,0.91509,0.94337,0.95998,0.57375,0.03488,0.58778,0.89358,0.000352285,0.000352285,0.000352285
94,298.361,0.0373,0.6121,0.92214,0.91483,0.93851,0.95485,0.56712,0.0354,0.60016,0.8986,0.000313831,0.000313831,0.000313831
95,301.022,0.03593,0.59089,0.90714,0.91388,0.94443,0.96584,0.57242,0.0345,0.59073,0.88998,0.000275378,0.000275378,0.000275378
96,303.729,0.03709,0.59917,0.90947,0.91877,0.94175,0.95662,0.5739,0.03448,0.58705,0.89098,0.000236924,0.000236924,0.000236924
97,306.436,0.03589,0.58435,0.90939,0.92592,0.94013,0.96161,0.57958,0.03418,0.58148,0.88901,0.000198471,0.000198471,0.000198471
98,310.219,0.03541,0.58059,0.90135,0.91108,0.94499,0.96021,0.58018,0.0342,0.58802,0.88777,0.000160017,0.000160017,0.000160017
99,313.227,0.03483,0.56046,0.90199,0.92024,0.94822,0.96728,0.57984,0.03452,0.59339,0.88755,0.000121564,0.000121564,0.000121564
100,316.068,0.03638,0.58536,0.91977,0.92342,0.95613,0.96625,0.57714,0.03428,0.58972,0.88593,8.31106e-05,8.31106e-05,8.31106e-05
