epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6957,0.06747,3.56817,1.20458,0.5193,0.59652,0.48359,0.12215,0.07516,10.6519,1.4927,0.0836613,0.0006613,0.0006613
2,33.4506,0.06094,1.40843,1.15217,0.01481,0.01123,0.00119,0.00037,nan,nan,nan,0.0663525,0.00135253,0.00135253
3,46.44,0.06888,1.55823,1.25024,0.00112,0.01544,0.00058,0.00014,nan,nan,nan,0.0490345,0.00203453,0.00203453
4,58.4862,0.07031,1.54162,1.20727,0,0,0,0,nan,nan,nan,0.0317073,0.0027073,0.0027073
5,71.1677,0.06299,1.34766,1.12671,0.11368,0.13617,0.06054,0.01788,nan,nan,nan,0.0143708,0.00337084,0.00337084
6,84.5228,0.06811,1.37928,1.18264,0,0,0,0,nan,nan,nan,0.00376182,0.00376182,0.00376182
7,97.5109,0.06346,1.28021,1.10863,0.57168,0.56107,0.49968,0.14693,0.06749,1.70383,1.22555,0.00373619,0.00373619,0.00373619
8,109.422,0.06772,1.38531,1.19068,0,0,0,0,nan,nan,nan,0.00371055,0.00371055,0.00371055
9,121.828,0.06654,1.39692,1.16999,0,0,0,0,nan,nan,nan,0.00368492,0.00368492,0.00368492
10,134.148,0.06579,1.35073,1.17082,0,0,0,0,nan,nan,nan,0.00365928,0.00365928,0.00365928
11,146.687,0.06097,1.28388,1.11604,0.01931,0.12588,0.01138,0.00431,nan,nan,nan,0.00363364,0.00363364,0.00363364
12,158.833,0.06455,1.31671,1.15541,0,0,0,0,nan,nan,nan,0.00360801,0.00360801,0.00360801
13,171.716,0.0609,1.15164,1.09431,0.67984,0.66495,0.68366,0.2527,0.06068,1.19469,1.11458,0.00358237,0.00358237,0.00358237
14,184.348,0.05843,1.13901,1.08483,0.58313,0.48479,0.48577,0.16638,0.07158,1.46497,1.22033,0.00355674,0.00355674,0.00355674
15,197.164,0.05717,1.10444,1.07408,0.74636,0.7422,0.77276,0.32219,0.05779,1.1099,1.07075,0.0035311,0.0035311,0.0035311
16,209.924,0.05679,1.17231,1.08166,0.24168,0.1329,0.10308,0.02947,0.10498,3.71339,2.10862,0.00350547,0.00350547,0.00350547
17,222.435,0.05849,1.14964,1.0759,0.57544,0.61648,0.62524,0.2326,0.05903,1.24651,1.0834,0.00347983,0.00347983,0.00347983
18,234.69,0.05812,1.13039,1.07179,0.68218,0.511,0.59954,0.24987,0.05932,1.47007,1.07011,0.00345419,0.00345419,0.00345419
19,247.02,0.05853,1.16114,1.08921,0.64559,0.50819,0.57355,0.21905,0.0647,1.68402,1.12935,0.00342856,0.00342856,0.00342856
20,259.524,0.0593,1.15427,1.09715,0.67771,0.49275,0.55889,0.2145,0.06573,1.44018,1.15283,0.00340292,0.00340292,0.00340292
