epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6539,0.06429,3.31142,1.12939,0.02558,0.33171,0.0201,0.00664,0.05853,3.151,1.08949,0.0932723,0.0002723,0.0002723
2,28.2406,0.05972,1.66136,1.07261,0.05341,0.69257,0.06008,0.02,0.06462,3.0064,1.16065,0.0855797,0.000579655,0.000579655
3,37.7499,0.05955,1.27348,1.07684,0.03721,0.48227,0.04524,0.01411,0.06316,3.29115,1.12925,0.0778829,0.000882908,0.000882908
4,47.2603,0.05984,1.26521,1.05984,0.05809,0.53473,0.15559,0.06538,0.05928,3.24831,1.09011,0.0701821,0.00118206,0.00118206
5,57.1108,0.05852,1.20442,1.07277,0.54836,0.55075,0.50415,0.18624,0.05854,3.27426,1.09126,0.0624771,0.00147711,0.00147711
6,66.193,0.05901,1.18496,1.06146,0.06475,0.77271,0.2436,0.07918,0.05818,2.95346,1.08987,0.0547681,0.00176806,0.00176806
7,75.9313,0.06223,1.27682,1.09682,0.08042,0.83876,0.12786,0.04422,0.05993,2.68584,1.16135,0.0470549,0.0020549,0.0020549
8,85.721,0.05985,1.20104,1.07488,0.07908,0.87421,0.49683,0.1621,0.06041,2.02697,1.14408,0.0393376,0.00233765,0.00233765
9,95.403,0.05892,1.16052,1.06593,0.49169,0.17047,0.18506,0.05751,nan,nan,nan,0.0316163,0.00261629,0.00261629
10,104.555,0.06125,1.18108,1.10162,0.38512,0.39849,0.31721,0.10162,0.06166,2.1707,1.1669,0.0238908,0.00289083,0.00289083
11,115.402,0.05866,1.18071,1.07229,0.20739,0.13016,0.08764,0.02127,nan,nan,nan,0.0161613,0.00316127,0.00316127
12,124.179,0.05951,1.16034,1.07787,0.50848,0.695,0.52095,0.17191,0.05647,1.26612,1.11288,0.00842761,0.00342761,0.00342761
13,132.99,0.05794,1.11856,1.07781,0.30449,0.6746,0.26973,0.08686,nan,nan,nan,0.00358237,0.00358237,0.00358237
14,142.802,0.05815,1.14197,1.05683,0.42533,0.58053,0.40649,0.1216,0.0588,1.35243,1.10111,0.00355674,0.00355674,0.00355674
15,152.736,0.05747,1.13102,1.05625,0.46712,0.53618,0.39738,0.11839,0.06266,1.57061,1.14865,0.0035311,0.0035311,0.0035311
